순위,관광지ID,업소명,분류
86,6d7ac0409e12dc34b7a4b5e4f67817e6,안동장[중식],외국식
87,1136df0b709a1e8b8a0301fe37bd5514,안경할머니곱창,전문음식
88,f4b0771c86053fc2e77454ce79da620d,평래옥,한식
89,59fbcd91a69cafa3b0afd3b0da70aa53,버거킹신당역점,간이음식
90,687062882b50e6e0a9dea44a99ab2041,남산돈가스거리,음식점기타
91,89be88021cbf7e2c93eb38ea2341b4b4,조선옥,한식
92,3f38500554765f6be7829ca61b3f4a50,조조칼국수시청점,한식
93,0a2c6ee6c9203455a986116693c2765b,동해도광화문점 [일식],외국식
93,2a75081ba1b9c42e4967121010c42a0e,대화정진짜해장국,한식
95,51e66b877f992d7747f1628d157dbae4,농민백암순대시청직영점,한식
96,a9b14351b1855cb792590ad213c1fd68,창고43무교점,전문음식
97,81f73cbd2d93eab2f452a5c309b6b34f,만복림남대문점 [중식],외국식
98,d00d4f14f0a4727995431a8c191e9ecb,애성회관,한식
99,af2124baef55caeee325c904cd3252aa,진미떡볶이,간이음식
100,8b8c9fdfc4e9f323ee026a618dcbce5d,스타벅스청계크리스탈스퀘어점,카페/찻집
