순위,관광지ID,관광지명,분류
83,98e37094d05668cd313c5a64e4a31c30,나인트리바이파르나스서울동대문,호텔
84,ee0b41ed73a545d1aeb984e1ba1c13c2,CGV동대문,공연시설
85,ac69d9480f64f00b969eda661ef4d8c4,서울유스호스텔,호스텔
86,e4d84fc91018ce54e3294272228a76f5,크라운파크호텔,호텔
87,b03fd5be6d7ab5e2e4b059d328f4c9ec,뉴서울호텔,호텔
88,224a3804cdf859de22b26c8c2c12141b,써미트호텔,호텔
89,7ad0068e79450bcfe39be3af3f0d99cd,메가박스동대문,공연시설
90,2c8d4320a04635b27a3925729e524381,현대면세점동대문점,면세점
91,1cbc07c7cecb0e4cc3c18e9c0367c095,트레블로지동대문호텔,호텔
92,3b4780080c9d7b67b703357ee3e47a50,만리재길,자연경관(산)
93,0fd17931deee2b8bd6962b290ec2b5f8,삼익패션타운,쇼핑몰
94,a207c77307ceb6043def9626555c899f,트레블로지명동을지로호텔,호텔
95,96a3e5f95efb2bdcb1353b380759c08c,서소문역사공원,도시공원
96,e42f0b354c379b16017831de6ea6a075,G3호텔,호텔
97,80faf829219f2e544860970b32281c3d,동화상가,시장
98,87d0473d57cadb89cdb8b106a3ddfedf,하이커그라운드,전시시설
99,e5973c362618362e5d2be49aad5f7a39,이비스스타일앰배서더명동,호텔
100,8ca21fce26649102b0ee22eae88c8b02,솔라리아니시테츠호텔서울명동,호텔
